D:\python3.10\python.exe D:\AutoTestProjects\Matter_Network\matter_google_deng.py
2024-06-26 12:36:47.700 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:36:48.308 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:36:48.626 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:37:44.918 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:37:44.918 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:37:44.919 | INFO     | __main__:calculate:211 - 成功8次
2024-06-26 12:37:44.919 | INFO     | __main__:calculate:217 - 第8次配网，成功8次，平均耗时32.55，最大耗时44.86，最小耗时25.39
2024-06-26 12:37:44.920 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:37:48.225 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:37:51.686 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:37:58.133 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:38:03.791 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:38:08.233 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:38:34.779 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:38:37.916 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:38:48.200 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:39:18.774 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:39:19.039 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:39:20.427 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:39:22.685 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:39:24.448 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:39:25.030 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:39:26.398 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:39:45.025 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:40:10.531 | INFO     | __main__:make:122 - 联网耗时: 25.51s
2024-06-26 12:40:10.595 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:40:10.878 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:40:13.002 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:40:13.568 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:40:13.840 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:41:06.681 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:41:06.682 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:41:06.682 | INFO     | __main__:calculate:211 - 成功9次
2024-06-26 12:41:06.683 | INFO     | __main__:calculate:217 - 第9次配网，成功9次，平均耗时31.77，最大耗时44.86，最小耗时25.39
2024-06-26 12:41:06.683 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:41:09.971 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:41:13.376 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:41:14.842 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:41:19.517 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:41:23.713 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:41:50.210 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:41:53.349 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:42:03.620 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:42:34.182 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:42:34.438 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:42:36.550 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:42:38.900 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:42:40.706 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:42:41.312 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:42:42.694 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:42:56.320 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:43:34.900 | INFO     | __main__:make:122 - 联网耗时: 38.58s
2024-06-26 12:43:34.949 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:43:35.220 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:43:37.281 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:43:37.871 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:43:38.204 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:44:34.149 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:44:34.150 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:44:34.150 | INFO     | __main__:calculate:211 - 成功10次
2024-06-26 12:44:34.151 | INFO     | __main__:calculate:217 - 第10次配网，成功10次，平均耗时32.45，最大耗时44.86，最小耗时25.39
2024-06-26 12:44:34.151 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:44:37.438 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:44:41.502 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:44:43.909 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:44:48.514 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:44:55.211 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:45:23.644 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:45:26.808 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:45:37.087 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:46:07.651 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:46:07.905 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:46:09.298 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:46:11.559 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:46:13.343 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:46:13.980 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:46:15.357 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:46:36.086 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:47:05.871 | INFO     | __main__:make:122 - 联网耗时: 29.78s
2024-06-26 12:47:05.958 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:47:06.201 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:47:07.293 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:47:08.106 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:47:08.415 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:48:05.078 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:48:05.078 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:48:05.079 | INFO     | __main__:calculate:211 - 成功11次
2024-06-26 12:48:05.079 | INFO     | __main__:calculate:217 - 第11次配网，成功11次，平均耗时32.21，最大耗时44.86，最小耗时25.39
2024-06-26 12:48:05.080 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:48:08.372 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:48:12.387 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:48:15.809 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:48:20.460 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:48:24.566 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:48:51.083 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:48:54.229 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:49:04.501 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:49:35.105 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:49:35.369 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:49:36.742 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:49:38.995 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:49:40.815 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:49:41.411 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:49:42.769 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:50:01.462 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:50:23.891 | INFO     | __main__:make:122 - 联网耗时: 22.43s
2024-06-26 12:50:23.952 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:50:24.219 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:50:26.303 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:50:26.876 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:50:27.165 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:51:19.960 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:51:19.960 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:51:19.961 | INFO     | __main__:calculate:211 - 成功12次
2024-06-26 12:51:19.961 | INFO     | __main__:calculate:217 - 第12次配网，成功12次，平均耗时31.39，最大耗时44.86，最小耗时22.43
2024-06-26 12:51:19.961 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:51:23.277 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:51:26.685 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:51:28.040 | INFO     | __main__:delete:168 - 点击移除设备
